County Name,County Code,County FIPS Code,Latitude,Longitude,Week Begin Date,Total Calls,Total Intakes,Caller Receiving Warm-Line Connection,Male Callers,Female Callers,Callers Using Heroin,Callers Using Cannabis,Callers Using Alcohol,Callers Using Benzodiazepine,Callers Using Opiates,Callers Using Hallucinogens,Callers Using Stimulants,Callers Using Depressants,Callers Using Narcotics - Not Specificied,Callers Using Methadone,Callers Using Suboxone,Callers Using Dissociative Anesthetic,Callers Receiving at least 1 Resource,Callers Receiving Information and Resources Only,Callers Referred for Assessment and Diagnostics,Callers Referred to Outpatient Treatment,Callers Referred to Medication Assisted Treatment,Callers Referred for Detox/Crisis Stabilization,Callers Referred to Intensive Outpatient Treatment,Callers Referred to Inpatient Residential Treatment,Callers Referred to the Emergency Room,Callers Referred for Recovery Support,Callers Referred to Social Services,Callers Referred to their SCA,Georeferenced Latitude & Longitude
Commonwealth,00,42000,39.346129,-75.167756,01/02/2017,429,155,155,107,48,,,,,,,,,,,,,155,0,8,9,6,98,0,25,9,2,0,9,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/14/2017,364,161,164,91,70,,,,,,,,,,,,,161,1,8,13,5,100,2,14,2,1,1,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/01/2018,323,149,136,83,66,38,10,43,7,41,0,28,1,9,0,11,,149,0,9,16,19,72,0,26,1,0,2,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/05/2018,304,148,144,90,58,41,12,46,8,24,6,35,5,5,1,15,,148,0,6,11,8,75,2,37,5,0,0,17,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/22/2019,306,158,137,99,59,47,11,58,2,24,4,44,2,6,3,11,0,158,0,14,10,11,74,1,14,3,0,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/13/2018,316,132,136,77,55,53,11,37,7,28,3,30,2,5,5,8,,132,0,4,9,8,76,0,28,0,0,0,20,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/19/2018,379,168,168,96,72,,,,,,,,,,,,,168,1,9,13,13,73,4,36,1,3,0,22,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/04/2019,267,150,129,96,54,29,14,47,8,17,3,38,4,22,2,5,0,150,2,13,16,7,42,1,30,6,2,0,37,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/10/2018,317,148,135,98,50,42,9,50,6,30,4,29,3,6,2,4,,148,0,6,10,6,77,2,25,3,1,0,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/13/2019,289,153,136,88,65,43,13,45,4,28,1,30,4,15,5,10,0,153,0,18,16,8,55,1,24,3,1,1,32,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/17/2019,307,133,111,85,48,43,13,40,9,23,4,24,1,9,4,6,0,133,0,7,13,9,48,2,26,3,1,2,28,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/05/2016,389,154,145,96,58,,,,,,,,,,,,,154,0,4,17,7,106,1,20,6,1,0,1,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/28/2018,345,166,174,100,66,38,11,42,7,49,1,34,3,12,,,,166,0,2,15,9,77,4,53,3,1,1,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/27/2020,177,103,94,68,35,22,7,32,6,14,1,25,1,7,3,9,0,103,0,6,10,3,33,1,15,1,1,1,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/17/2017,383,148,147,85,63,,,,,,,,,,,,,148,0,8,11,10,94,0,9,1,1,0,16,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/23/2019,175,85,74,58,27,14,7,35,2,16,0,18,3,11,0,9,0,85,1,8,11,0,41,1,13,2,0,1,16,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/07/2019,345,179,149,110,69,36,15,54,14,28,5,42,6,14,6,11,,179,1,15,12,7,72,1,38,1,0,0,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/25/2019,309,150,124,85,66,41,14,40,5,24,4,31,3,15,2,10,0,150,1,7,16,3,62,1,21,1,0,0,40,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/26/2019,288,151,128,89,62,22,14,58,10,34,4,30,1,7,2,9,0,151,2,12,10,6,55,1,30,1,3,0,39,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/16/2017,277,118,127,72,46,,,,,,,,,,,,,118,0,4,13,7,62,1,29,0,0,2,15,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/29/2018,329,142,153,86,56,,,,,,,,,,,,,142,0,8,20,11,54,3,32,0,0,0,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/20/2017,369,176,183,103,73,,,,,,,,,,,,,176,1,15,11,6,102,3,20,9,0,3,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/30/2019,303,152,133,94,58,33,14,47,6,15,3,32,0,14,6,7,0,152,2,10,12,6,62,4,20,7,0,0,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/10/2018,316,148,139,91,57,38,14,47,8,33,3,30,0,6,8,6,,148,3,10,17,9,70,1,27,1,1,0,20,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/30/2017,261,121,126,71,50,,,,,,,,,,,,,121,0,2,11,9,60,0,18,1,2,0,20,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/26/2018,322,141,152,86,55,,,,,,,,,,,,,141,1,1,10,9,73,2,30,1,1,0,23,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/06/2020,214,130,110,87,43,31,9,32,6,29,2,28,2,13,2,7,0,130,2,14,7,6,46,1,33,0,3,0,29,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/11/2020,308,161,136,111,50,32,6,52,5,30,2,30,0,6,3,10,0,161,2,10,15,4,83,0,24,3,1,0,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/06/2017,397,155,173,94,61,,,,,,,,,,,,,155,2,26,11,9,97,1,8,4,1,1,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/22/2019,333,156,138,87,69,35,11,47,6,30,4,32,2,12,5,7,0,156,2,16,11,9,59,1,20,1,2,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/19/2017,326,149,147,102,47,,,,,,,,,,,,,149,5,8,4,4,89,1,12,3,0,0,32,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/28/2019,250,129,121,86,43,22,10,42,4,21,2,29,2,14,1,7,0,129,1,7,10,4,51,0,18,3,4,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/30/2017,430,139,125,89,50,,,,,,,,,,,,,139,0,1,18,7,87,2,19,1,0,0,14,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/02/2018,383,172,186,82,90,47,11,51,9,36,2,47,3,16,,,,172,0,4,22,4,89,0,44,3,0,0,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/23/2020,197,119,94,75,44,38,7,18,5,24,2,28,2,13,2,8,0,119,0,9,7,4,51,1,14,5,1,1,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/12/2019,272,145,123,88,57,15,5,55,3,11,4,25,0,8,1,5,0,145,0,30,17,4,51,0,1,2,3,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/11/2017,304,144,147,86,58,,,,,,,,,,,,,144,0,6,9,5,88,1,15,0,0,3,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/08/2018,306,142,164,91,51,30,14,56,6,28,1,33,4,8,5,11,,142,0,13,18,18,81,0,33,0,0,0,14,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/16/2018,356,154,146,89,65,40,16,52,7,23,3,44,1,10,4,9,,154,1,5,9,4,59,3,34,6,0,0,40,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/12/2018,248,102,88,56,46,29,8,33,5,16,1,24,2,5,1,9,,102,0,7,11,6,49,1,17,1,2,0,13,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/21/2017,347,163,166,102,61,,,,,,,,,,,,,163,0,9,8,5,100,2,16,1,0,0,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/15/2017,292,146,142,84,62,,,,,,,,,,,,,146,2,6,8,9,65,1,19,4,2,1,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/25/2019,178,87,78,52,35,18,3,30,3,21,1,22,0,5,1,1,0,87,0,4,5,1,41,3,16,0,1,1,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/08/2020,311,176,136,106,70,47,7,51,5,46,3,41,0,15,4,6,1,176,2,7,10,4,94,2,25,9,4,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/04/2017,268,125,130,77,48,,,,,,,,,,,,,125,0,3,10,8,58,0,29,2,0,0,20,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/21/2019,391,189,157,115,75,45,16,57,7,30,8,41,3,7,2,18,2,189,0,9,23,11,79,6,25,2,2,1,37,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/24/2020,235,145,119,93,52,31,7,47,8,19,0,32,1,14,2,8,0,145,0,12,10,6,57,2,30,4,4,0,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/15/2019,308,164,147,94,70,36,13,51,2,30,6,37,1,14,7,13,0,164,1,8,13,9,67,1,25,3,2,1,37,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/23/2018,446,216,221,126,90,56,24,65,7,50,1,53,4,20,,,,216,2,5,21,12,89,2,56,3,1,0,40,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/25/2019,296,139,118,80,59,27,12,45,9,24,2,33,0,12,3,4,0,139,0,8,12,3,57,0,22,3,3,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/25/2017,249,96,98,65,31,,,,,,,,,,,,,96,0,5,7,8,43,0,19,1,0,0,14,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/11/2018,333,151,164,96,55,44,17,43,11,31,1,32,0,5,4,,,151,1,8,19,5,67,1,40,4,1,0,22,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/07/2019,265,142,126,77,65,32,10,49,11,18,0,43,0,15,3,6,0,142,1,7,3,4,74,2,27,1,1,2,28,POINT (-75.167756 39.346129)
